company_name,company_domain,ceo_name,founder_name,contact_email,linkedin_contact,number_of_employees,share_price_current,share_price_5y_ago
Robertson Inc,Healthcare,Melody Vasquez,Jasmine Rocha,kathleenevans@roberts-lopez.info,https://www.linkedin.com/in/hornejonathan,1965,297.39,233.76
"Thompson, Sullivan and Mckenzie",Information Technology,Mary Martin,Melissa Frederick,catherineramirez@johnson.com,https://www.linkedin.com/in/bryanlee,4636,490.72,475.85
Kennedy Ltd,Manufacturing,Adam Manning,Mr. Brandon Huerta,wyattwilliams@fischer.com,https://www.linkedin.com/in/susansmith,5117,100.82,88.72
"Wells, Hunt and Willis",Automotive,Andrew Pierce,Hannah Wagner,joshualopez@rios-cox.com,https://www.linkedin.com/in/bethanywhite,9576,345.41,320.93
"Foster, Williams and Gordon",Automotive,Laura Gonzalez,Angela Moore,robertsanchez@lopez.com,https://www.linkedin.com/in/john18,4939,297.84,299.09
"Parks, Vargas and Porter",Artificial Intelligence,Renee Carey,Matthew Smith,iangarcia@case.biz,https://www.linkedin.com/in/amber06,7842,28.93,19.91
Garrett-Mays,Automotive,Cameron Manning,Tammy Hunt,meyerpatrick@scott-smith.info,https://www.linkedin.com/in/franklinvictoria,1575,136.03,172.84
"Cochran, Chandler and Horton",Human Resources,William Parrish,Tamara Morton,jdavis@bell-lee.com,https://www.linkedin.com/in/anthony77,8902,126.43,155.75
Barnes-Estrada,Information Technology,Julia Mitchell,Kristie Snyder,adam19@brown.com,https://www.linkedin.com/in/jmorrison,2531,171.52,209.35
Todd-Harrison,Human Resources,William Ward,Sharon Gross,gibsonjorge@bishop-castillo.com,https://www.linkedin.com/in/zhall,9267,177.79,192.4
"Lee, Martin and Bell",Finance,Steven Mora,Samantha Johnson,kskinner@morris-kaufman.com,https://www.linkedin.com/in/vincent87,1875,464.13,692.3
Wells-Gardner,Information Technology,Gregory Mclean,Tracy Ramirez,phelpsmitchell@vargas.com,https://www.linkedin.com/in/erika90,3952,133.86,132.22
Schwartz Group,Healthcare,Zachary Brown,Cassandra Martinez,savannah30@evans.org,https://www.linkedin.com/in/patriciabecker,1511,38.23,31.06
"Sanders, Flores and Quinn",Information Technology,Larry Bradley,Ryan Hill,tcarter@campbell.com,https://www.linkedin.com/in/allison18,972,292.18,315.26
Garcia-Hendrix,Finance,Andrew Gillespie,Monica Rodriguez,amyperez@phillips-wall.biz,https://www.linkedin.com/in/jon17,2040,305.36,176.66
Lawrence Ltd,Retail,Ryan Landry,James Knapp,jonestiffany@walters.biz,https://www.linkedin.com/in/kaitlyncoleman,7861,447.58,463.48
Warner-Hodges,Automotive,Mary Baldwin,Cynthia Harmon,westrada@rodriguez.info,https://www.linkedin.com/in/kylevalentine,936,40.0,56.67
Williams-Guerra,Finance,Michelle Johnson,Nathan Cowan,twalton@brown.com,https://www.linkedin.com/in/pyoung,9014,470.13,324.4
Acosta Ltd,Finance,Nicole Parker,Jimmy Hernandez,hendrickschristopher@powell-reyes.org,https://www.linkedin.com/in/cmorales,8805,227.89,119.67
Bell-Ramos,Manufacturing,Jennifer Sanders,Timothy Hansen,bfloyd@estrada.org,https://www.linkedin.com/in/jodi64,4606,292.36,355.61
Meyer Group,Automotive,Brandy Cunningham,Alyssa Long,brendarich@wallace-black.com,https://www.linkedin.com/in/andersonangela,9147,176.08,108.45
Clark Ltd,Human Resources,Melissa Hall,William Thomas,egarcia@mccarty.net,https://www.linkedin.com/in/jameskelly,5992,349.15,462.25
Hinton Group,Administration,Jennifer White,Todd Weiss,lisa07@barrett.com,https://www.linkedin.com/in/martinlinda,8156,395.55,470.92
Booth-Porter,Information Technology,Mary White,Leslie Wise,gaustin@armstrong-blanchard.info,https://www.linkedin.com/in/nicholas90,134,224.33,167.17
"Martin, Russell and Taylor",Automotive,Lauren Delgado,Julia Marquez,ybarton@stephens-wallace.com,https://www.linkedin.com/in/kara75,7392,343.16,298.84
"Smith, Young and Baker",Manufacturing,Melissa Jones,Jenna Garcia,kaylapierce@sanchez.org,https://www.linkedin.com/in/michael21,9403,94.43,87.71
Fritz and Sons,Administration,Barry Holloway,Lisa Johnson,kgood@duran.com,https://www.linkedin.com/in/diana54,8043,100.45,87.89
Rodriguez-Richard,Artificial Intelligence,Chad Hudson,Sheila Garcia,darrencastillo@king.com,https://www.linkedin.com/in/montoyarobert,6260,308.02,368.91
Williams-Schneider,Artificial Intelligence,Matthew Gray,Rachel Villarreal,james80@sanchez-paul.biz,https://www.linkedin.com/in/coledaniel,1463,434.0,433.5
Reyes Inc,Administration,Gina Bender,Betty Dougherty,duarteashlee@carter.net,https://www.linkedin.com/in/ryancook,1239,222.37,242.08
"Foster, Ellis and Wright",Education,Victoria Francis,Amy Harvey,gibbscaitlin@smith.com,https://www.linkedin.com/in/thompsonlucas,4343,174.6,250.29
"West, Morales and Duncan",Human Resources,Richard Lucas,George Palmer,jacobhutchinson@thompson.biz,https://www.linkedin.com/in/michael91,5597,465.76,602.12
Stevenson Group,Information Technology,Charles Simpson,Lindsay Hoover,alvarezgilbert@bush.net,https://www.linkedin.com/in/ronald42,2273,495.01,592.59
"Grant, Aguirre and Solis",Education,Mandy Williams,William Walker,ritakane@green-aguilar.info,https://www.linkedin.com/in/markpatterson,3855,337.31,263.77
Figueroa PLC,Healthcare,Clayton Duncan,Scott Zamora,sthompson@bush-lewis.com,https://www.linkedin.com/in/pattersondonald,5981,342.15,275.46
Rose Inc,Finance,Barbara Compton,Alexis Chandler,rburnett@davis.org,https://www.linkedin.com/in/perezdavid,7634,154.08,190.12
"Shelton, Heath and Fox",Artificial Intelligence,Lee Flores,Terri Jordan,christopherkelly@ross.com,https://www.linkedin.com/in/williammiles,2410,482.73,333.35
Davis-Jackson,Automotive,Arthur Rowe,Jason Lambert,mark31@martin.com,https://www.linkedin.com/in/martinsusan,1587,387.88,521.12
Cunningham-Reese,Information Technology,Martin Cook,Lynn Shelton,daniel18@nichols.com,https://www.linkedin.com/in/michael04,3408,412.58,249.98
"Hernandez, Moran and Williams",Finance,Nancy Sims,David Hester,dennisaustin@sutton.com,https://www.linkedin.com/in/meganjohnson,259,37.69,41.71
Dawson Inc,Administration,David Hernandez,Julia Lowe,cookealexander@hull.com,https://www.linkedin.com/in/hschmidt,1882,137.05,106.15
"Mckee, Ramos and Howe",Retail,Angela Stokes,Teresa Holland,patricia61@hartman-daniels.net,https://www.linkedin.com/in/mwest,2229,433.88,345.6
"Green, Gray and Ruiz",Education,Charles Mclaughlin,Tammy Williams,brooksemma@massey.info,https://www.linkedin.com/in/ienglish,612,459.12,686.14
Dean Inc,Retail,Karen Lane,Darryl Brennan DVM,jessica70@salas.com,https://www.linkedin.com/in/donna25,2805,56.45,74.04
Robbins-Ponce,Education,Thomas Cooper,Glenn Landry,susan99@davila-figueroa.com,https://www.linkedin.com/in/gordondavid,5192,126.0,149.95
Ellison-Lloyd,Education,Mark Rogers,Tiffany Green,fullerangela@ray.com,https://www.linkedin.com/in/campbelldenise,1284,362.11,293.48
"Morris, Gonzalez and Oconnell",Information Technology,Samantha Sampson,Allison Hamilton,ejacobs@willis.com,https://www.linkedin.com/in/fharris,2635,113.41,95.92
Barrett PLC,Human Resources,Joshua Nguyen,Edward Copeland,amanda35@patrick.com,https://www.linkedin.com/in/bushdavid,9798,451.94,484.89
Pearson and Sons,Education,Kimberly Knox,James Cantrell IV,jcabrera@james-hart.info,https://www.linkedin.com/in/nealjoshua,7095,229.03,256.95
"Wong, Mcneil and George",Manufacturing,Jerry Thompson,Lindsey Jacobs,irodriguez@flores-randall.org,https://www.linkedin.com/in/juliehernandez,6003,174.15,186.2
Rodriguez PLC,Administration,Chris Powell MD,Jeffrey Kaufman,andrew02@williams.com,https://www.linkedin.com/in/hallchristine,6765,386.57,397.22
Smith-Hubbard,Artificial Intelligence,Sara Crawford,Ryan Hernandez,katherinewilliams@smith-moore.com,https://www.linkedin.com/in/bakercharles,9798,328.59,232.69
"Burke, Vega and Thompson",Retail,Sarah Cervantes,John Brennan,russotimothy@lopez.biz,https://www.linkedin.com/in/egallegos,220,200.58,201.06
Clark-Cox,Healthcare,Kevin Davis,Nichole Serrano,mward@chapman.info,https://www.linkedin.com/in/dannyholland,4586,106.94,88.18
Swanson-Johnson,Education,Cheryl Hernandez,Jordan Murray,zlindsey@perkins-rowland.org,https://www.linkedin.com/in/evanskathleen,8773,435.65,407.68
Morales Inc,Human Resources,Heather Garcia,Lauren Peterson,phillip48@little.net,https://www.linkedin.com/in/eileen84,1494,370.19,533.65
Johnson Group,Retail,Alexandra King,Mason Ford,gdavis@palmer.com,https://www.linkedin.com/in/terrisingleton,6606,201.1,298.12
Fischer Ltd,Human Resources,Amy Campbell,Kenneth Anderson,jasonsmith@contreras.com,https://www.linkedin.com/in/tiffany82,8614,178.84,110.79
Avila-Jones,Retail,Judith May,Paula Chapman,joseph91@rios.com,https://www.linkedin.com/in/vhull,1549,410.83,460.13
Hudson-Jones,Information Technology,Brian Malone,Christopher Collins,pamelarhodes@richardson.com,https://www.linkedin.com/in/steven94,5683,17.12,20.44
Coleman-Taylor,Education,Jessica Chen,Tina Wells,allenjanice@quinn-mason.com,https://www.linkedin.com/in/jonathan32,2521,205.66,184.71
"Adams, Madden and Gray",Education,Dustin Gonzalez,Angela Matthews,jessicazavala@fernandez.org,https://www.linkedin.com/in/gutierrezmelissa,6192,481.06,370.49
Glover LLC,Human Resources,Louis Watson,Andrea Long,davidthomas@king-mcclure.org,https://www.linkedin.com/in/jason03,4935,145.84,117.62
Thomas-Callahan,Administration,Charles Gonzalez,Kenneth King,gabriel79@griffin.com,https://www.linkedin.com/in/victoriamendoza,5446,76.36,102.4
"Hill, Lewis and Wong",Manufacturing,Elizabeth Anderson,Thomas Kelley,ubanks@russell.biz,https://www.linkedin.com/in/emilyfisher,2795,136.92,184.07
Lyons and Sons,Human Resources,Anne Bentley,Angela Simmons,victor07@bass.com,https://www.linkedin.com/in/johnmays,8630,395.03,484.91
Boyle Group,Healthcare,Jeremy Rodriguez,Cindy Clark,hardybrad@patel-cox.com,https://www.linkedin.com/in/xjones,1047,178.13,132.82
Terry LLC,Manufacturing,Deborah Sanchez,Christopher Roberts,russokimberly@rivera-gallegos.com,https://www.linkedin.com/in/medinatheresa,3671,282.68,210.33
Morales and Sons,Administration,Kathleen Brown,Sean Gross,hunterjennifer@delgado.com,https://www.linkedin.com/in/tammy34,3663,221.31,173.33
Fields Group,Automotive,Frank Hernandez,Brendan Tran,dylangarcia@schmidt.info,https://www.linkedin.com/in/barneselizabeth,2692,471.78,344.67
Santos Ltd,Retail,Natasha Norton,Edward Henson,stewartgregory@black.com,https://www.linkedin.com/in/brandonjohnson,9354,116.26,80.13
Shelton Ltd,Information Technology,Holly Hendricks,Nicole Snow,milleralexandria@george.net,https://www.linkedin.com/in/hernandezbenjamin,6112,287.48,423.86
Nelson-Chen,Automotive,James Villegas,Brenda Stewart,millermeredith@cobb-blackwell.biz,https://www.linkedin.com/in/rwarner,2089,404.57,454.2
Rios Group,Healthcare,Paul Berry,Christopher Jones,candice91@peck.biz,https://www.linkedin.com/in/christine89,4458,56.78,68.69
Kelly and Sons,Healthcare,Alan Morgan,Meghan Tyler,stanley74@kelly-anthony.info,https://www.linkedin.com/in/xriley,8617,293.89,406.3
"Williams, Carroll and Fox",Information Technology,Robert Anderson,Joyce Adkins,frankdestiny@perez-lawson.com,https://www.linkedin.com/in/samanthamcmillan,2739,124.51,71.59
"Vance, Lee and Lewis",Retail,Amanda White,Jonathan Martinez,lunacrystal@schmidt.com,https://www.linkedin.com/in/kmartin,6169,133.05,70.37
Carpenter and Sons,Human Resources,Christopher White,Mr. Tommy Jones,rodneygarcia@martin.com,https://www.linkedin.com/in/gravesmolly,4858,206.07,296.35
"Simpson, Smith and Pierce",Manufacturing,Brittany Hernandez,Maria Erickson,amandachambers@ramirez.com,https://www.linkedin.com/in/michaelmitchell,3212,303.98,315.68
Vasquez-Nelson,Manufacturing,Karina Carrillo,Zachary Singh IV,scross@ortiz-wilkins.biz,https://www.linkedin.com/in/christopher69,6038,165.15,115.41
Williams-Anderson,Administration,Anthony Miller,Todd Carroll,sanchezjames@jackson-merritt.com,https://www.linkedin.com/in/gking,8844,294.74,328.29
Rogers and Sons,Administration,Jamie Mcdaniel,Michael Martin,jacob70@rowland-oneal.com,https://www.linkedin.com/in/leslie90,9442,109.52,161.6
Thomas-Oneal,Administration,Jorge Davis,Benjamin Butler,bkirby@garcia.org,https://www.linkedin.com/in/denise48,1964,372.88,512.6
Mercado Ltd,Manufacturing,Julie Wood,Joshua English,blackangela@cardenas-franklin.com,https://www.linkedin.com/in/pmcguire,3806,179.6,254.07
Carroll-Jones,Finance,Dr. Brian Thompson,Rachael Buckley,wrussell@small.biz,https://www.linkedin.com/in/sduncan,5687,268.71,225.64
Thomas-Johnson,Information Technology,Ashley Henson,Reginald Hernandez,greenscott@cooper.com,https://www.linkedin.com/in/luisharris,528,244.75,307.26
Cline Group,Manufacturing,Jordan Hensley,Marissa Leon,david90@rogers.com,https://www.linkedin.com/in/dthomas,4050,166.27,118.76
Mendez LLC,Administration,Kimberly Oconnell,Paul Rose,bonnie99@martin.net,https://www.linkedin.com/in/ramirezsean,6816,435.78,317.74
"Schroeder, Porter and Steele",Automotive,Vanessa Evans,Shaun Shaw,hyoung@rodriguez.net,https://www.linkedin.com/in/isaiahlopez,8668,135.77,74.64
"Santos, Miller and Arroyo",Artificial Intelligence,Bobby Johnson,Gerald Brooks,danieltrujillo@miller.com,https://www.linkedin.com/in/athomas,264,293.24,187.21
Cummings-Liu,Retail,Joseph Anderson,Melissa Johnson,michellepayne@austin-meyer.com,https://www.linkedin.com/in/harrismichael,5576,60.69,69.49
Walter-Jackson,Retail,Melissa Sloan,Dawn Johnson,richard29@robinson.com,https://www.linkedin.com/in/caustin,1618,229.71,231.17
"Johnson, Butler and Rice",Artificial Intelligence,Gregory Gentry,Rebecca Watkins,kimberly41@rowland.com,https://www.linkedin.com/in/robin03,9965,431.15,419.22
"Mathis, Serrano and Thompson",Human Resources,Barbara Ellis,Lori Moyer,nicholassmith@anderson.com,https://www.linkedin.com/in/kevinmann,5623,243.3,290.42
"Rivera, Beck and Carter",Healthcare,Regina Williams,Katelyn Cummings,castillobrandon@sexton.biz,https://www.linkedin.com/in/uwalsh,3229,276.26,246.12
King-Bishop,Artificial Intelligence,Fred Watkins,Sophia Rodriguez,gkramer@pham.com,https://www.linkedin.com/in/thall,3244,84.45,95.96
"Reynolds, Taylor and Beasley",Information Technology,Linda Huynh,Anna White,justinmoran@stewart-patel.biz,https://www.linkedin.com/in/josephbradley,80,231.45,260.94
"Kennedy, Ellison and Davis",Administration,Lisa Jones,Brittney Thompson,todd34@rice.com,https://www.linkedin.com/in/zimmermanpatricia,6836,127.83,177.51
Hernandez Ltd,Administration,Aaron Kim,Brianna Johnson,perryarthur@wood.net,https://www.linkedin.com/in/hillkatrina,9897,17.84,18.24
Young Ltd,Automotive,Cody Wu,Shelby Costa,gregoryhernandez@robinson.com,https://www.linkedin.com/in/jnixon,1816,233.1,190.62
Carr-Banks,Administration,Kathryn Barnes,Marisa Sanchez,george65@patterson-allen.info,https://www.linkedin.com/in/yhowell,8827,337.93,446.46
Drake PLC,Finance,Michael Wright,Cheryl Ball,dustin44@collins.com,https://www.linkedin.com/in/jose18,3819,78.35,102.02
"Terry, Vargas and Rangel",Finance,Noah Oconnor,Kathryn Hardin,jacobsgina@schultz.biz,https://www.linkedin.com/in/richard42,493,386.52,316.39
Lopez PLC,Retail,Tracey Schroeder,David Buckley,crose@willis.info,https://www.linkedin.com/in/charlesharrison,1942,391.12,261.18
Fox-Waller,Automotive,Cody Barton,Marilyn Richardson,wtorres@morgan.com,https://www.linkedin.com/in/johnkelly,367,106.64,126.2
"Holland, Anderson and Booth",Information Technology,Thomas Gonzalez,John Chase,pamelajackson@stone-howell.com,https://www.linkedin.com/in/farmerroger,9353,171.68,196.78
"Murphy, Weiss and Montoya",Human Resources,Rachel Simmons,Donald Miller,daniel85@maynard.com,https://www.linkedin.com/in/pattonfernando,5319,438.83,244.55
Ortiz-Washington,Retail,Carl Fox,Jessica Brown,dunlapbenjamin@cannon.org,https://www.linkedin.com/in/thompsonalbert,6476,178.39,257.04
Edwards-Townsend,Manufacturing,Rebecca Barrett,Brad Jordan,floresgregory@mccann-cardenas.com,https://www.linkedin.com/in/hornhannah,1680,294.25,216.52
Henderson-Thompson,Information Technology,Jose Villa,Denise Allen,schneiderdustin@marsh-burke.com,https://www.linkedin.com/in/ggarcia,8658,226.86,162.85
Figueroa-Ewing,Manufacturing,Regina Ibarra,Michael Green,jonesmargaret@vazquez.biz,https://www.linkedin.com/in/jessicahughes,8938,407.45,476.4
Martinez-Lang,Administration,Steven Black,Ashley Payne,yhernandez@freeman.info,https://www.linkedin.com/in/stevenconley,5568,134.89,158.74
Ray LLC,Information Technology,Kelly Mcguire,Erik Hudson,ubell@pacheco.info,https://www.linkedin.com/in/morajames,8821,11.16,10.49
Rodriguez-Anderson,Retail,Kelly Massey,Roberto Cervantes,cynthiasmith@anderson.info,https://www.linkedin.com/in/amacias,6530,439.43,616.32
"Conrad, Wells and Mitchell",Retail,Russell Zamora,Jessica Foster,hannah71@carney-owens.org,https://www.linkedin.com/in/amysimpson,3054,94.43,134.97
"Carrillo, Lam and Tran",Education,Stephen Reed,Colton Johnson,dustin63@fox-wilson.org,https://www.linkedin.com/in/pbrown,5218,330.86,224.14
"Lee, Potter and Webb",Human Resources,Christine Nelson,Jason Morris,andrewwhite@thompson-thompson.info,https://www.linkedin.com/in/david07,2686,6.92,5.15
"Burnett, Vaughn and Brewer",Administration,Raven Jones,Tiffany Madden,martinezhannah@rogers-faulkner.com,https://www.linkedin.com/in/erandolph,342,450.35,295.52
Nash Inc,Human Resources,Dr. Shawn Cardenas,Lindsay Reeves,angela72@brandt.com,https://www.linkedin.com/in/cjennings,2642,383.39,361.08
Hernandez-Williams,Manufacturing,Belinda Harris,Hailey Little,caitlynmiller@watson-coleman.com,https://www.linkedin.com/in/iharris,7563,411.27,538.82
Cooper-Nguyen,Retail,Dominique Cole,Jamie Kidd,fmccoy@brown.com,https://www.linkedin.com/in/kurt74,9675,413.84,599.32
"Harrison, Adams and Taylor",Automotive,Victor Stout,Dorothy Johnson,thomaschristopher@mack.info,https://www.linkedin.com/in/oconnoradam,647,343.68,316.96
Harper LLC,Automotive,Mr. Andrew Case,Pamela Williams,torresjennifer@everett.org,https://www.linkedin.com/in/smithkevin,28,260.77,381.61
"Wang, Salinas and Williams",Artificial Intelligence,Jenna Nichols,Scott Howard,hernandezpamela@dyer.com,https://www.linkedin.com/in/codystrickland,2915,293.62,298.62
Williams LLC,Automotive,Tracy Wheeler,Joel Miller,peter69@watson.com,https://www.linkedin.com/in/msmith,4978,394.24,546.06
"Hanson, Hart and Matthews",Retail,Beth Cooper,Kim Gonzalez,brent96@lutz-watkins.info,https://www.linkedin.com/in/nicolebeard,405,55.22,38.23
Williams-Riley,Administration,Lindsay Walker,Timothy Conway,wrightjames@park.com,https://www.linkedin.com/in/cassidy70,3990,268.99,188.45
"Moore, Golden and Gay",Automotive,Edward Reyes,Katherine Martin,xyoung@hudson.com,https://www.linkedin.com/in/renee37,6194,493.17,641.78
Ward LLC,Retail,Glen Smith,Guy Walton,isanchez@lewis-morrison.net,https://www.linkedin.com/in/wwatson,7747,211.38,268.02
Davis-Pollard,Artificial Intelligence,Hunter Gomez,Derrick Garcia,diane24@ibarra-torres.info,https://www.linkedin.com/in/bramirez,2882,134.13,148.01
"Hart, Rice and Mcgrath",Healthcare,Kenneth Simpson,Melissa Larsen,talvarez@peterson-williams.org,https://www.linkedin.com/in/vharding,2052,469.91,266.96
Ramirez Inc,Human Resources,Brian Walker,Virginia Parker,chaneybenjamin@juarez-davis.org,https://www.linkedin.com/in/inewman,6681,219.58,286.31
"Allen, Lopez and Rivera",Retail,Christopher Reynolds,Cody Bass,williamsfrances@parker.com,https://www.linkedin.com/in/morgancole,5137,289.22,162.54
Barker Group,Finance,Brian Murphy,Catherine Wise,salinasevan@collins.com,https://www.linkedin.com/in/tonyaward,9561,269.54,314.97
Johnson LLC,Education,David Smith,Sandra Mccoy,xbowman@mack.org,https://www.linkedin.com/in/watersrobert,8564,59.17,74.15
Tucker Ltd,Automotive,Marc Walker,Keith Garcia,wallangela@joseph.com,https://www.linkedin.com/in/ogeorge,6636,312.38,226.19
Diaz PLC,Artificial Intelligence,Kevin Hawkins PhD,Amy Richardson,colin80@griffin.com,https://www.linkedin.com/in/romanerica,2262,257.14,276.07
Simpson-Lopez,Finance,Sandra Erickson,Jamie Gamble,lynn66@berry.com,https://www.linkedin.com/in/sandra11,1539,205.74,200.49
"Ball, Dunlap and Porter",Finance,David Washington,Teresa Joyce,hmccarthy@cruz-lowe.com,https://www.linkedin.com/in/ybrown,212,19.69,28.89
Bautista and Sons,Education,Sharon Patton,Cheryl Kennedy,valenciakayla@phillips-myers.com,https://www.linkedin.com/in/guerrerokathleen,2248,225.79,301.01
Larson-Myers,Manufacturing,Lisa Hansen,Chad Berg,kimberlyfarmer@dudley-banks.org,https://www.linkedin.com/in/cbooker,3949,403.55,241.52
"Kelly, Roberts and Bryant",Retail,Brandon Sanchez,Caitlin Calderon,iespinoza@fields.com,https://www.linkedin.com/in/edwin98,4922,106.49,96.66
"Holloway, Baldwin and Odom",Retail,Justin Jackson,Denise Key,evanstaylor@thomas.com,https://www.linkedin.com/in/jessicaanderson,7686,273.12,160.46
"Porter, Ross and Love",Healthcare,Joshua Hancock,James Wolfe,jennyjacobson@hernandez.biz,https://www.linkedin.com/in/arogers,5730,267.86,381.7
"Gonzalez, Glenn and Kelley",Healthcare,Angela Peterson,Rebecca Parker,xpineda@roberts-coleman.com,https://www.linkedin.com/in/campbellkurt,1394,144.66,79.6
Day and Sons,Artificial Intelligence,Matthew Newman,Devon Strickland,johnny09@cuevas-hodge.info,https://www.linkedin.com/in/powelldanny,6278,295.12,148.7
Crawford and Sons,Healthcare,Joan Ellis,Patricia Baker,collinsmichael@golden.com,https://www.linkedin.com/in/allengary,2305,310.89,201.03
Barajas PLC,Administration,Lance Blake,Jessica Lewis,kstafford@williams.com,https://www.linkedin.com/in/raymond14,6784,155.88,113.64
Henry LLC,Finance,Laura Fox,Trevor Norman,woodsbob@alvarado-johnson.com,https://www.linkedin.com/in/robert20,9952,28.83,38.93
"Smith, Benjamin and Cross",Artificial Intelligence,Tonya Levy,Lisa Powell,upeterson@walker.org,https://www.linkedin.com/in/jonessarah,2158,69.27,58.3
Waters and Sons,Healthcare,Anthony Lynch,Taylor Spencer,david71@turner-anderson.biz,https://www.linkedin.com/in/ameyer,2412,110.45,75.07
"White, Pearson and Bell",Administration,David Patel,Joshua Brown,yreid@stone.com,https://www.linkedin.com/in/ryanmichael,9654,81.8,109.24
Davis Group,Healthcare,Ashley Santiago,Karen Anderson,vcummings@sanchez.net,https://www.linkedin.com/in/hmcpherson,2878,43.1,62.11
"Jones, Flores and Mcintosh",Retail,Douglas Fields,Whitney Ramirez,ryansmith@mitchell.org,https://www.linkedin.com/in/david67,2837,351.06,256.95
"Peterson, Williams and Morse",Healthcare,Victoria Jimenez,Rick Vega,marcustaylor@jackson.com,https://www.linkedin.com/in/eweber,267,280.65,359.22
Hodge LLC,Healthcare,Krista Carrillo,Cassandra Thomas,suzanne96@arnold.biz,https://www.linkedin.com/in/smithlaurie,574,276.26,301.72
Barajas Group,Automotive,David Gillespie,Elizabeth Vazquez,fdorsey@little.net,https://www.linkedin.com/in/james91,3441,327.51,271.6
Ford Group,Manufacturing,Karen Walter,Teresa Spencer,scobb@lindsey-fry.org,https://www.linkedin.com/in/christophermcdonald,9712,51.82,72.21
Bentley-Wilson,Automotive,Pamela Becker,Mary Moore,millersara@rogers.com,https://www.linkedin.com/in/michael07,5311,437.59,623.05
Johnson-Nichols,Information Technology,Olivia Francis,Jessica Gaines,gbrown@peters.info,https://www.linkedin.com/in/johngeorge,6312,148.29,121.49
"Duncan, Ashley and Jones",Healthcare,Hunter Gates,Joshua Martin,davidwilliams@flores-haas.net,https://www.linkedin.com/in/amymartin,4456,440.06,314.61
"Obrien, Kane and Cooper",Administration,Timothy Carlson,Ethan Cortez,gutierrezmichael@mooney.com,https://www.linkedin.com/in/keith98,2696,209.94,198.0
Pham LLC,Automotive,Olivia Parker,Alison Scott,johnlewis@benson.com,https://www.linkedin.com/in/nelsonethan,5292,242.58,177.56
Smith-Contreras,Retail,Luis Alvarez,Suzanne Butler,gina85@lawson-johnson.net,https://www.linkedin.com/in/amber00,44,131.96,88.69
"Meyer, Hood and Cooper",Artificial Intelligence,Erin Hess,Danielle Johnson,bauermichael@callahan.com,https://www.linkedin.com/in/rachelwebster,615,467.32,428.15
"Smith, Ramirez and Schultz",Healthcare,Janet Navarro,Taylor Weaver,margaretjordan@horton-griffith.net,https://www.linkedin.com/in/epacheco,4342,165.41,179.66
Cochran-Santana,Administration,Leslie Wright,Justin Anderson,cassandra12@hutchinson-evans.com,https://www.linkedin.com/in/courtney04,7039,463.8,502.01
Phillips-Moran,Education,Shannon Arnold,Vincent Hayes,jocelyn29@lee.com,https://www.linkedin.com/in/ashley90,443,438.53,646.37
"Ray, Hale and Montgomery",Administration,Melissa Adams,David May,bsantos@ewing.com,https://www.linkedin.com/in/lmorgan,3252,55.08,48.96
"Clements, Carrillo and Juarez",Administration,David Andrade,Jessica Waters,debrapalmer@singh.com,https://www.linkedin.com/in/jacksonjared,868,144.82,144.37
Preston-Brown,Education,John Marshall DVM,Kevin Holmes,jonesjesse@alvarez.biz,https://www.linkedin.com/in/amanda78,6357,214.32,139.68
Rogers-Garcia,Finance,Trevor Valenzuela,Jason Bennett,hatfieldrebecca@montgomery.info,https://www.linkedin.com/in/larry96,8875,478.04,460.6
Hoover-Hall,Education,Regina Orr,Stephanie Navarro,reyessonya@yang.biz,https://www.linkedin.com/in/joseph29,4563,289.24,220.27
"Ramos, Burnett and Avila",Manufacturing,David Martinez,Courtney Shaw,qnorris@clark.info,https://www.linkedin.com/in/austintamara,6352,397.15,478.63
"Munoz, Calderon and Lam",Retail,Jacob Copeland,Thomas Phillips,pattersonmichael@fields.com,https://www.linkedin.com/in/michelleschultz,5074,330.11,172.19
Martinez and Sons,Automotive,Terry Hall,Matthew Velasquez,james22@campbell.biz,https://www.linkedin.com/in/zrobinson,7999,172.54,114.82
Cameron-Fischer,Automotive,Laura Byrd,Jessica Spears,thomascrystal@harper.com,https://www.linkedin.com/in/brandoncrane,8769,86.64,97.39
Davis-Butler,Automotive,Thomas Lewis,Gregory Welch,mferguson@castillo.info,https://www.linkedin.com/in/howardalexander,5869,355.83,365.48
Bennett-Moore,Administration,Timothy Chavez,Lori Beck,alexander12@thomas-moore.com,https://www.linkedin.com/in/johnsonsamantha,1727,382.45,438.88
"Robinson, Moore and Woods",Manufacturing,Ashley Lyons,Courtney Jackson,fward@baker.com,https://www.linkedin.com/in/pierceheather,5065,6.65,7.61
Williams-Myers,Manufacturing,Samuel Doyle,Amanda Woods,wadepamela@martinez.com,https://www.linkedin.com/in/angela39,242,200.52,158.86
Mcintosh Ltd,Education,Deborah Lee,Heather Jones,cynthia55@clark.org,https://www.linkedin.com/in/ustevens,737,324.97,254.54
Smith and Sons,Manufacturing,Robert Kent,Matthew Parker,kevin53@hall-thompson.net,https://www.linkedin.com/in/julia87,9479,408.53,553.17
Porter PLC,Administration,Jessica Landry,Autumn Brown,cindygoodman@wood.com,https://www.linkedin.com/in/jasonfisher,4693,74.11,96.73
"Green, Jones and Perez",Retail,Mike Ward,Michael Watts,bvega@gordon.com,https://www.linkedin.com/in/hfitzgerald,5435,418.92,393.71
